,CAGR,Ann.Vol,Sharpe,MaxDD,n_days
"WML (long-short, gross)",-0.08124884992413095,0.40090905780183006,-0.007897641846587752,-0.8080366210993803,1758.0
WML + Vol-target,-0.012042930967665622,0.13180046271914025,-0.02565981476366293,-0.35271012488367526,1758.0
Long-only (top quintile),0.39473209526109776,0.44962995390639954,0.9652805646855644,-0.42742423793071904,1758.0
Long-only + Vol-target,0.20746058282424662,0.28345964670953633,0.80752822717406,-0.3298613165896047,1758.0
Benchmark (QTUM),0.33312010927306956,0.2763062576864214,1.179512858633008,-0.38448640159106373,1758.0
