,"WML (long-short, gross)",WML + Vol-target,Long-only (top quintile),Long-only + Vol-target,Benchmark (QTUM)
2018-11-01,0.9306444118234358,,1.0253153808120539,,1.0
2018-11-02,0.9291865770052162,,1.0211248826012056,,1.0351690067832773
2018-11-05,0.9616132468581066,,1.0247661018060596,,1.0231373756498785
2018-11-06,0.9569784452982943,,1.0297644227745693,,1.0360945168704618
2018-11-07,0.9897164897589424,,1.066975760745039,,1.05506709712801
2018-11-08,0.9751531209705845,,1.0518229562239914,,1.0485885265177186
2018-11-09,0.9828110504569574,,1.0303674396218123,,1.0485885265177186
2018-11-12,0.9919151988939862,,0.9908428716512703,,1.0037019462163046
2018-11-13,0.9773844828945253,,0.9928224347628027,,1.0046274563034894
2018-11-14,0.9654011602321179,,0.9851624040607766,,0.9986115466043562
2018-11-15,0.957748570829386,,1.0089586843112583,,1.0217489222542349
2018-11-16,0.9492944243147843,,1.0016405670140545,,1.0175844092592052
2018-11-19,0.9388425726525975,,0.9592670506297506,,0.9949096945204854
2018-11-20,0.8905661370509123,,0.9117995841658503,,0.9625173121311953
2018-11-21,0.9315631499548218,,0.964413970319695,,0.9625173121311953
2018-11-23,0.9312563909335511,,0.9686569808506506,,0.9625173121311953
2018-11-26,0.9340767541892281,,0.9925698423124679,,0.982878439916821
2018-11-27,0.9444340157113716,,0.9961617332027105,,0.982878439916821
2018-11-28,0.9513264443091185,,1.0362655659535875,,0.9847291776938891
2018-11-29,0.9641554294908468,,1.038929943773989,,0.9847291776938891
2018-11-30,0.9568344831763853,,1.0477479809636174,,1.008792157563386
2018-12-03,0.9628659460028218,,1.081802720788357,,1.0347064400045527
2018-12-04,0.9734075360710985,,1.034247523050831,,1.0347064400045527
2018-12-06,0.9354822240608103,,0.9817126789869328,,0.9962982420485631
2018-12-07,0.9462612229993651,,0.9495799105580567,,0.9925958251700907
2018-12-10,1.036889075550671,,1.0461238083353581,,0.9801016272579667
2018-12-11,1.0334299466231993,,1.045474904174376,,0.9759371142629369
2018-12-12,0.9932281554631714,,1.0138902611662906,,0.9870429529118503
2018-12-13,1.0059931201625596,,1.0214687392046051,,0.9773252852612803
2018-12-14,1.0080686786586093,,1.0036388892631305,,0.9629802554396545
2018-12-17,0.9908966279132992,,0.9731679481813849,,0.9384545205265657
2018-12-18,0.99417401478446,,0.9886797799657732,,0.949560170910612
2018-12-19,1.0165930659474416,,0.9691707453907675,,0.9301250238743388
2018-12-20,1.008835699699742,,0.957359742525689,,0.9102270276620394
2018-12-21,0.9869899424797025,,0.9177821264118716,,0.8870893696148601
2018-12-24,0.9974227019142048,,0.9019298588201148,,0.871355980530024
2018-12-26,1.0046329790272095,,0.9611546985966877,,0.9069875540920264
2018-12-27,0.9784798249270927,,0.9528817175913903,,0.9153172390091207
2018-12-28,0.9849857192051212,,0.9648924479008335,,0.9209746924010935
2018-12-31,0.9871935612709797,,0.9744482606335723,,0.9274667239493903
2019-01-02,0.975249067814907,,0.9761823680756947,,0.9325678546587695
2019-01-03,0.9902411005170791,,0.9294972114148805,,0.8977878972235734
2019-01-04,0.99313638617875,,0.9775992373212289,,0.933031456894264
2019-01-07,1.0022455364161633,,1.00522154152645,,0.9446248074168073
2019-01-08,1.0091191815273428,,1.0184862401469446,,0.9455523884175312
2019-01-09,0.9772172809425841,,1.023760018607852,,0.9590005244117876
2019-01-10,0.9668397786614791,,1.0251606620482923,,0.9692028799629795
2019-01-11,0.965791432017955,,1.0297983540344267,,0.9664205134905425
2019-01-14,0.9685922126098144,,1.0174597610057825,,0.9548268805706984
2019-01-15,0.9839548720117458,,1.0341103241771272,,0.9641016551211669
2019-01-16,0.9804005063335423,,1.0319793134981678,,0.9654929324898185
2019-01-17,0.9784981230767692,,1.0360605585427292,,0.9724487545384773
2019-01-18,0.968321237272242,,1.0491606106459468,,0.9909982095069805
2019-01-22,0.9779084697663508,,1.029740957305015,,0.9678115084618938
2019-01-23,0.9829185877901983,,1.0284277256613226,,0.9724487545384775
2019-01-24,0.9443392692639784,,1.046236126948297,,1.003055256397452
2019-01-25,0.931223291465502,,1.066785107967869,,1.0285607216794808
2019-01-28,0.9193033872251101,,1.0431359252088441,,1.0192860412614462
2019-01-29,0.9184690636912249,,1.027435381771192,,1.0114026382120638
2019-01-30,0.9267295436161819,,1.0645242143698452,,1.0373716115971532
2019-01-31,1.0240200220379019,,1.2009511050052237,,1.0420090459386044
2019-02-01,1.0042749896225927,,1.19824436571434,,1.047109894250683
2019-02-04,0.9822247939589682,,1.203991005523696,,1.0536023023287142
2019-02-05,0.9665515142746444,,1.189511300186426,,1.0591671294060219
2019-02-06,0.9439751322713297,,1.1944865016747086,,1.0638043754826054
2019-02-07,0.9511313418156115,,1.1743033985163742,,1.0480374752514066
2019-02-08,0.9677006681492835,,1.1877500815343174,,1.045718616882031
2019-02-11,0.9741500192318782,,1.2005777765457772,,1.0466461978827548
2019-02-12,0.9519770717248413,,1.2131614134476971,,1.0670505324554043
2019-02-13,0.9540081739095365,,1.218735347098492,,1.0744702391368586
2019-02-14,0.9567492094147985,,1.2250117789064816,,1.07771620784479
2019-02-15,0.9583045300909951,,1.234191016200093,,1.0865274742921973
2019-02-19,0.9615248935361026,,1.2358364688315366,,1.0911645321039138
2019-02-20,0.9534037655447031,,1.2358390502308003,,1.0976568460495115
2019-02-21,0.9599749033063091,,1.2387836743870246,,1.0971931496815832
2019-02-22,0.9663848819877944,,1.2588154907864022,,1.1101779658376456
2019-02-25,0.9545804475260152,,1.2606953425593714,,1.1189886674904512
2019-02-26,0.9638438526447248,,1.258018293614276,,1.117597578386666
2019-02-27,0.9737557733731669,,1.2495758796629675,,1.1115686784116958
2019-02-28,0.9823773742265517,,1.2496051856003705,,1.1055402490988937
2019-03-01,0.9814109456561452,,1.265034446120734,,1.1124962594124197
2019-03-04,0.9745850829355864,,1.2572724473917285,,1.1083227097037645
2019-03-05,0.9760743063734365,,1.2468014719001035,,1.1050767409958329
2019-03-06,0.9855009758582258,,1.2270056773136784,,1.0911645321039138
2019-03-07,0.9851694285293826,,1.2119351669070062,,1.0749340296372205
2019-03-08,0.9848644020531976,,1.216318500419933,,1.0758616106379444
2019-03-11,0.9896281336337127,,1.2479269551709384,,1.0976568460495115
2019-03-12,0.9844651341931445,,1.2457838853157,,1.1011835176744473
2019-03-13,0.9892711422574102,,1.2522622128836294,,1.1044316514283519
2019-03-14,0.9918249700872676,,1.2475313064824372,,1.0923667915458912
2019-03-15,1.0123555416452965,,1.255861994568273,,1.1072161829467615
2019-03-18,1.0146081429181542,,1.2471047854827952,,1.1067524865788334
2019-03-19,1.0074444622464689,,1.2730217504103778,,1.111856817790955
2019-03-20,1.011860324430866,,1.2665494966620996,,1.1081445170069542
2019-03-21,0.9920782609669937,,1.300649232925939,,1.1299546253430306
2019-03-22,0.9866411151050998,,1.2475881997393574,,1.0988632473185675
2019-03-25,1.0037819029035857,,1.2485505147654925,,1.0932946549439162
2019-03-26,0.9955319429701801,,1.2487301296353148,,1.0970072381252174
2019-03-27,0.9979701390890522,,1.2293001448713248,,1.0872624603337697
2019-03-28,1.0062003539491875,,1.233677590465519,,1.0909744787204696
2019-03-29,0.9928036454917344,,1.2504408408624856,,1.1062880371514363
2019-04-01,0.9776405497446491,,1.2714929159618495,,1.1257782516613672
2019-04-02,0.9801477683647062,,1.2773395452352083,,1.1280982396199466
2019-04-03,0.9186847140918537,,1.3026200983592358,,1.1443399438462387
2019-04-04,0.9067274347745974,,1.2880971982754155,,1.1396997796642132
2019-04-05,0.9007222884985878,,1.290672626273914,,1.1461959530395887
2019-04-08,0.8980158755055239,,1.2909717315923297,,1.1466604024669858
2019-04-09,0.9055359555528882,,1.283151478185213,,1.1369154364106706
2019-04-10,0.9138057967176894,,1.304802144685003,,1.1448046756709365
2019-04-11,0.914287898499523,,1.3033993368851569,,1.1452679955091303
2019-04-12,0.9101627667169724,,1.3157528699732823,,1.155477034463108
2019-04-15,0.912065560673109,,1.3063612687700776,,1.1531568582396616
2019-04-16,0.9015557956069468,,1.313030190537264,,1.1642941371213984
2019-04-17,0.8946842258160718,,1.3082636441559632,,1.1661505228444833
2019-04-18,0.8930508878017906,,1.3072840352162673,,1.1633661795909405
2019-04-22,0.9075867401994182,,1.3245046336923516,,1.1638301583561697
2019-04-23,0.9156958444871998,,1.3422135096231067,,1.1731110515148222
2019-04-24,0.911634691009153,,1.3467411721103213,,1.1749675313703403
2019-04-25,0.923840880586409,,1.345980550936096,,1.1638301583561699
2019-04-26,0.9355334126615535,,1.35500471984785,,1.165686355814387
2019-04-29,0.9395053925580398,,1.355796024737457,,1.168470604935496
2019-04-30,0.9824138313094607,,1.3608247895448418,,1.1661505228444835
2019-05-01,0.9581928572056352,,1.3555702999296362,,1.1642941371213986
2019-05-02,0.9498421712108067,,1.3550349986097034,,1.1693987507308212
2019-05-03,0.9293245010543727,,1.3849234416644551,,1.1879607253129936
2019-05-06,0.9381578165973714,,1.362631371006975,,1.1749675313703405
2019-05-07,0.9482479840046919,,1.3385975794367282,,1.1489803904255653
2019-05-08,0.9472798799213757,,1.3306173119262215,,1.1480523387626733
2019-05-09,0.9568638853153301,,1.321389416276858,,1.1387715397364544
2019-05-10,0.9830706725407254,,1.3296778666501783,,1.142019861755226
2019-05-13,0.988426247992084,,1.2680445907758449,,1.099327414348664
2019-05-14,0.9836356260321655,,1.2994290318951114,,1.1197454922566197
2019-05-15,0.9857080273825495,,1.3149056619552961,,1.1313466557711518
2019-05-16,0.9993238486827918,,1.3133956252935697,,1.1313466557711518
2019-05-17,0.9844122067937355,,1.2665097914101318,,1.1137131093816062
2019-05-20,0.9810013560823886,,1.2139405179036626,,1.086798387436107
2019-05-21,0.9739732020584222,,1.2384467153551286,,1.1002555601439892
2019-05-22,0.9807419631865256,,1.2265811806083966,,1.092830864443554
2019-05-23,0.9825065606437762,,1.2043513323195028,,1.0733405558011897
