,CAGR,Ann.Vol,Sharpe,MaxDD,n_days
"WML (long-short, gross)",-0.07337880488918846,0.3954929729092811,0.007751777741050583,-0.80803662109938,1902.0
WML + Vol-target,-0.012042930967665622,0.13180046271914025,-0.02565981476366293,-0.35271012488367526,1758.0
Long-only (top quintile),0.3940243391130682,0.44479662838300943,0.9695130713259639,-0.42742423793071993,1902.0
Long-only + Vol-target,0.20746058282424662,0.28345964670953633,0.80752822717406,-0.3298613165896047,1758.0
Benchmark (QTUM),0.31465655822629235,0.27313584426751014,1.1388987132881234,-0.3844864015910644,1902.0
