,"WML (long-short, gross)",WML + Vol-target,Long-only (top quintile),Long-only + Vol-target,Benchmark (QTUM)
Quantum crash 2024-11-01..2025-03-31,-0.658430095177703,-0.2506878807197256,-0.20417962710962645,-0.0657985153495112,0.2001377591354574
COVID 2020-02-19..2020-03-23,-0.09901434804463216,-0.048706766186470185,-0.3082236123072123,-0.28662579959947765,-0.33009401213991285
2022 tech bear 2022-01-01..2022-12-31,0.5039799511961176,0.21346307931040398,-0.27553864747428936,-0.1889810110857273,-0.28794450631482515
