,0
2019-05-07,0.3396281307595464
2019-05-08,0.3253792830820927
2019-05-09,0.3253737086961122
2019-05-10,0.32193959817725876
2019-05-13,0.3241496585999706
2019-05-14,0.32063774084815877
2019-05-15,0.32001618585308383
2019-05-16,0.3198446959874766
2019-05-17,0.3201685720166194
2019-05-20,0.3201943874154257
2019-05-21,0.3197425812416841
2019-05-22,0.3197047227377328
2019-05-23,0.3195721641790284
2019-05-24,0.3191587858185301
2019-05-28,0.3105250254941281
2019-05-29,0.3047781071446407
2019-05-30,0.3049150542614684
2019-05-31,0.3049591722917775
2019-06-03,0.30493177801339594
2019-06-04,0.3053471071541481
2019-06-05,0.3048003752363631
2019-06-06,0.30527738935465326
2019-06-07,0.3122646075320945
2019-06-10,0.31214123029240576
2019-06-11,0.3070786741621472
2019-06-12,0.3069899809579396
2019-06-13,0.27594066744810414
2019-06-14,0.2776158600278357
2019-06-17,0.27276863743709984
2019-06-18,0.2723135798174047
2019-06-19,0.27412722340709456
2019-06-20,0.27309945580248474
2019-06-21,0.2732524009686027
2019-06-24,0.27153114200672696
2019-06-25,0.2716752413971981
2019-06-26,0.2698555998677739
2019-06-27,0.2722698846631314
2019-06-28,0.2722373415549657
2019-07-01,0.2699220635783748
2019-07-02,0.27035265550181786
2019-07-03,0.2712491608767816
2019-07-05,0.2708984531016917
2019-07-08,0.2704815211578122
2019-07-09,0.2713039864201927
2019-07-10,0.27106501192987414
2019-07-11,0.27091034728917773
2019-07-12,0.26708285778761165
2019-07-15,0.2671278861941672
2019-07-16,0.26744273123410645
2019-07-17,0.2676039626291702
2019-07-18,0.27647142910380457
2019-07-19,0.2766729051157084
2019-07-22,0.27712025691808057
2019-07-23,0.2816487801314548
2019-07-24,0.2824375122477592
2019-07-25,0.2842453521976882
2019-07-26,0.2789141836074707
2019-07-29,0.2781861460347179
2019-07-30,0.27755543637110014
2019-07-31,0.2776585761412016
2019-08-01,0.2799721156918003
2019-08-02,0.23800954827093398
2019-08-05,0.2389413918602327
2019-08-06,0.2393331056930736
2019-08-07,0.23847290123432768
2019-08-08,0.236284944698139
2019-08-09,0.23643776130741992
2019-08-12,0.23568725197619522
2019-08-13,0.23700775579260466
2019-08-14,0.23501979561543865
2019-08-15,0.23545421508382594
2019-08-16,0.23669723291313904
2019-08-19,0.23668936437373406
2019-08-20,0.23803029243018006
2019-08-21,0.23774158935878023
2019-08-22,0.23809308334308849
2019-08-23,0.23827118108404052
2019-08-26,0.23763267630339946
2019-08-27,0.24039082664371414
2019-08-28,0.2400897775744335
2019-08-29,0.2398733179593085
2019-08-30,0.2398719756097999
2019-09-03,0.24020385452881038
2019-09-04,0.24021721682278213
2019-09-05,0.23998238425422172
2019-09-06,0.24245300723167715
2019-09-09,0.24249076100763012
