Date,AAPL,ADI,AMAT,AMD,AMZN,ANET,ARQQ,ASML,AVGO,CDNS,CIEN,COHR,CRM,CSCO,ENTG,ERIC,FN,FORM,GOOGL,HON,IBM,INFN,INTC,IONQ,IPGP,JNPR,KLAC,LAES,LITE,LRCX,LSCC,MCHP,META,MKSI,MPWR,MRVL,MSFT,MU,NOK,NOW,NTGR,NVDA,NXPI,ON,ONTO,ORCL,PLTR,QBTS,QCOM,QRVO,QTUM,QUBT,RGTI,SNPS,STM,SWKS,TER,TXN
2016-06-01,22.414384841918945,48.72510528564453,21.861173629760742,4.429999828338623,35.97200012207031,4.630000114440918,,91.05585479736328,11.845782279968262,24.739999771118164,17.760000228881836,20.229999542236328,82.2425537109375,21.361526489257812,13.768322944641113,5.822940826416016,36.5,7.420000076293945,37.11623764038086,83.20831298828125,96.00188446044922,,25.459609985351562,,87.87000274658203,,62.03281784057617,,25.360000610351562,7.2390031814575195,5.909999847412109,21.406579971313477,117.85513305664062,38.19956588745117,63.22142791748047,9.472936630249023,46.7261962890625,12.766508102416992,4.409664630889893,14.633999824523926,27.83498764038086,1.148890495300293,83.4026107788086,9.949999809265137,,34.669498443603516,,,41.85728073120117,52.13999938964844,,0.20000000298023224,,51.97999954223633,5.347929000854492,53.95077133178711,18.71563148498535,46.45537567138672
2016-06-02,22.245922088623047,48.41770935058594,21.98670768737793,4.239999771118164,36.4119987487793,4.681250095367432,,91.32032775878906,11.856493949890137,24.729999542236328,20.030000686645508,20.329999923706055,82.03559112548828,21.49457550048828,13.864005088806152,5.838346004486084,36.15999984741211,7.389999866485596,36.908451080322266,83.63917541503906,96.62507629394531,,25.540023803710938,,87.98999786376953,,62.15159606933594,,24.489999771118164,7.282542705535889,5.920000076293945,21.410728454589844,118.00395965576172,38.48589324951172,63.193843841552734,9.500659942626953,46.3990592956543,12.786014556884766,4.4018874168396,14.845999717712402,28.250619888305664,1.156989574432373,82.65998077392578,9.859999656677246,,33.291690826416016,,,41.92604446411133,53.4900016784668,,0.20000000298023224,,52.400001525878906,5.383641719818115,53.39739227294922,18.668350219726562,46.21955871582031
2016-06-03,22.291452407836914,48.276485443115234,21.870140075683594,4.159999847412109,36.277000427246094,4.692500114440918,,91.9677963256836,12.442010879516602,24.700000762939453,21.030000686645508,20.31999969482422,81.35557556152344,21.531526565551758,13.7778902053833,5.946177959442139,36.84000015258789,7.380000114440918,36.491397857666016,83.82906341552734,96.24111938476562,,25.427446365356445,,87.80999755859375,,62.00736618041992,,24.530000686645508,7.236390113830566,5.920000076293945,21.447982788085938,117.54754638671875,38.39351272583008,63.20305252075195,9.39900016784668,45.78901290893555,12.542191505432129,4.425219535827637,14.706000328063965,28.232009887695312,1.1407904624938965,81.39579010009766,9.710000038146973,,33.67057418823242,,,41.97187805175781,53.66999816894531,,0.20000000298023224,,52.029998779296875,5.365784168243408,53.686119079589844,18.639978408813477,46.04460525512695
2016-06-06,22.453081130981445,47.42909622192383,21.672868728637695,4.46999979019165,36.33649826049805,4.666250228881836,,91.25648498535156,12.463440895080566,24.8799991607666,21.270000457763672,20.6299991607666,81.63151550292969,21.509361267089844,13.816162109375,5.953879356384277,36.959999084472656,7.409999847412109,36.203773498535156,84.37677764892578,96.14035034179688,,25.47569465637207,,87.4800033569336,,61.70201873779297,,25.110000610351562,7.194441318511963,5.980000019073486,21.42728614807129,117.86505889892578,38.30118179321289,63.26744842529297,9.251131057739258,46.0896110534668,12.454416275024414,4.4018874168396,15.01200008392334,28.411911010742188,1.1349003314971924,79.79562377929688,9.8100004196167,,33.96336364746094,,,41.933685302734375,54.810001373291016,,0.20000000298023224,,52.470001220703125,5.463994979858398,53.02044677734375,18.649431228637695,46.622737884521484
2016-06-07,22.544139862060547,48.01063919067383,21.672868728637695,4.510000228881836,36.1870002746582,4.661250114440918,,92.2778549194336,12.616515159606934,24.860000610351562,21.75,20.559999465942383,81.9370346069336,21.487184524536133,13.959684371948242,5.992392539978027,37.849998474121094,7.539999961853027,36.254859924316406,84.23802185058594,96.51805877685547,,25.636526107788086,,87.2300033569336,,61.888633728027344,,24.860000610351562,7.251247406005859,6.0,21.861955642700195,116.84308624267578,38.58748245239258,64.60143280029297,9.334309577941895,46.06308364868164,12.678730964660645,4.4329962730407715,15.204000473022461,28.418113708496094,1.1371092796325684,79.99897003173828,10.069999694824219,,33.6964111328125,,,41.895484924316406,55.4900016784668,,0.20000000298023224,,52.7599983215332,5.597916126251221,55.073577880859375,18.848026275634766,46.828125
2016-06-08,22.523651123046875,48.002323150634766,21.726675033569336,4.460000038146973,36.332000732421875,4.676249980926514,,92.19579315185547,12.529266357421875,24.8799991607666,21.68000030517578,20.790000915527344,82.14398193359375,21.53892707824707,14.103204727172852,5.923070907592773,38.68000030517578,7.630000114440918,36.84199905395508,84.7638168334961,96.93980407714844,,25.644563674926758,,87.0999984741211,,62.07522964477539,,24.780000686645508,7.287951946258545,5.900000095367432,21.936466217041016,117.4681625366211,39.02156448364258,64.97863006591797,9.40824031829834,46.010047912597656,12.269112586975098,4.464104175567627,15.407999992370605,29.12531089782715,1.133427619934082,80.00780487060547,10.020000457763672,,33.825584411621094,,,41.97187805175781,56.040000915527344,,0.20000000298023224,,53.439998626708984,5.4997053146362305,54.84099197387695,19.02771759033203,47.22368621826172
2016-06-09,22.685285568237305,47.819557189941406,21.89704132080078,4.519999980926514,36.38249969482422,4.695000171661377,,91.69420623779297,12.562939643859863,24.860000610351562,21.610000610351562,20.520000457763672,81.532958984375,21.53892707824707,14.055366516113281,5.869154453277588,37.88999938964844,7.880000114440918,36.82167053222656,85.5963363647461,96.57469940185547,,25.684770584106445,,86.33000183105469,,62.270328521728516,,24.68000030517578,7.308928489685059,5.869999885559082,21.84539794921875,117.6368408203125,39.2617073059082,65.0890121459961,9.482179641723633,45.638710021972656,12.20084285736084,4.417441368103027,15.112000465393066,29.26178741455078,1.1628800630569458,79.82215881347656,10.020000457763672,,33.62751770019531,,,42.002445220947266,56.06999969482422,,0.20000000298023224,,53.08000183105469,5.401498794555664,54.512168884277344,19.13174057006836,47.269317626953125
2016-06-10,22.498613357543945,47.321102142333984,21.583209991455078,4.320000171661377,35.89550018310547,4.567500114440918,,88.80339813232422,12.308836936950684,24.700000762939453,21.1200008392334,19.860000610351562,80.64598846435547,21.457616806030273,13.72048568725586,5.699705123901367,36.56999969482422,7.739999771118164,36.35899353027344,85.20928192138672,95.91376495361328,,25.76519203186035,,84.69000244140625,,61.64263153076172,,24.530000686645508,7.198808670043945,5.679999828338623,21.6301326751709,115.71194458007812,38.0056266784668,63.54343795776367,9.128920555114746,45.51492691040039,11.839986801147461,4.363001346588135,14.805999755859375,28.697269439697266,1.1339186429977417,78.17777252197266,9.800000190734863,,33.36058044433594,,,41.1238899230957,54.029998779296875,,0.20000000298023224,,52.5,5.115798473358154,52.57133483886719,18.819656372070312,47.09435272216797
2016-06-13,22.15941619873047,47.24630355834961,21.46664047241211,4.400000095367432,35.762001037597656,4.513124942779541,,87.84589385986328,12.24683952331543,24.59000015258789,20.860000610351562,19.889999389648438,80.31090545654297,21.31717872619629,13.56739616394043,5.653491020202637,35.7400016784668,7.739999771118164,36.294036865234375,84.07733154296875,95.22760009765625,,25.869728088378906,,83.69999694824219,,61.506900787353516,,24.110000610351562,7.1647257804870605,5.639999866485596,21.489376068115234,113.06273651123047,38.0056266784668,63.111045837402344,9.026659965515137,44.3302001953125,11.75220775604248,4.4018874168396,14.541999816894531,28.54838752746582,1.1483991146087646,77.2671890258789,9.979999542236328,,33.257225036621094,,,40.35993576049805,53.689998626708984,,0.20000000298023224,,52.13999938964844,4.981877326965332,52.0981559753418,18.630516052246094,46.80529022216797
2016-06-14,22.18673324584961,47.41248321533203,21.28729820251465,4.389999866485596,35.96500015258789,4.528124809265137,,86.26826477050781,12.168771743774414,24.389999389648438,20.90999984741211,20.100000381469727,79.91668701171875,21.405872344970703,13.557830810546875,5.607276439666748,36.16999816894531,7.849999904632568,36.361968994140625,84.35486602783203,95.08911895751953,,25.84560203552246,,84.86000061035156,,61.608707427978516,,24.479999542236328,7.163851737976074,5.670000076293945,21.609432220458984,114.04503631591797,37.93172836303711,63.24905014038086,9.212590217590332,44.05611801147461,11.625423431396484,4.331892013549805,14.595999717712402,28.753101348876953,1.1506083011627197,77.24067687988281,9.770000457763672,,33.43806838989258,,,40.26061248779297,54.43000030517578,,0.20000000298023224,,52.16999816894531,5.0354461669921875,52.138248443603516,18.507570266723633,47.08675003051758
2016-06-15,22.113882064819336,47.24630355834961,21.251434326171875,4.420000076293945,35.7130012512207,4.567500114440918,,85.8852310180664,12.161858558654785,24.350000381469727,20.860000610351562,20.100000381469727,80.80365753173828,21.17673683166504,13.596100807189941,5.923070907592773,36.38999938964844,7.929999828338623,36.30940246582031,84.36213684082031,94.84993743896484,,25.419401168823242,,84.54000091552734,,61.84621810913086,,25.809999465942383,7.208422660827637,5.630000114440918,21.568035125732422,113.70767974853516,37.950199127197266,63.44222640991211,9.333439826965332,43.932334899902344,11.72295093536377,4.3707780838012695,14.894000053405762,28.78411865234375,1.1623896360397339,76.02066040039062,9.699999809265137,,33.102230072021484,,,40.70371627807617,54.939998626708984,,0.20000000298023224,,52.529998779296875,5.097942352294922,52.12220001220703,18.413005828857422,46.926998138427734
2016-06-16,22.20722198486328,47.271240234375,21.24246597290039,4.75,35.8754997253418,4.531875133514404,,87.15281677246094,12.179520606994629,24.399999618530273,20.989999771118164,20.229999542236328,80.458740234375,21.33935546875,13.643938064575195,5.907667636871338,36.54999923706055,8.079999923706055,35.9156608581543,84.55934143066406,95.08911895751953,,25.483736038208008,,84.11000061035156,,61.74441909790039,,25.450000762939453,7.2250285148620605,5.679999828338623,21.547330856323242,113.49931335449219,37.88555145263672,63.396244049072266,9.58443832397461,44.55122756958008,11.654682159423828,4.509598255157471,14.736000061035156,29.038461685180664,1.1670525074005127,76.14445495605469,9.489999771118164,,33.274452209472656,,,40.81066131591797,54.810001373291016,,0.20000000298023224,,52.52000045776367,5.0175886154174805,51.953792572021484,18.119834899902344,47.208465576171875
2016-06-17,21.70184326171875,46.515235900878906,21.009321212768555,5.260000228881836,35.31949996948242,4.503749847412109,,86.31387329101562,11.977592468261719,24.260000228881836,20.649999618530273,19.790000915527344,79.33523559570312,21.398488998413086,13.653509140014648,5.907667636871338,36.779998779296875,8.149999618530273,34.923851013183594,84.65428161621094,95.6745376586914,,25.540023803710938,,83.55999755859375,,61.94801712036133,,24.969999313354492,7.244256019592285,5.809999942779541,21.19959259033203,112.13997650146484,38.07026290893555,62.4670524597168,9.314844131469727,44.321353912353516,11.898502349853516,4.534242153167725,14.413999557495117,28.964019775390625,1.1466814279556274,75.16313171386719,9.449999809265137,,34.1700325012207,,,40.90998077392578,54.5,,0.20000000298023224,,52.459999084472656,5.107833385467529,51.304176330566406,18.044174194335938,46.87376022338867
2016-06-20,21.649484634399414,47.17986297607422,21.18865966796875,5.099999904632568,35.70050048828125,4.53125,,88.32009887695312,12.048996925354004,24.479999542236328,20.639999389648438,20.020000457763672,80.04480743408203,21.287614822387695,13.758756637573242,6.030903339385986,37.869998931884766,8.529999732971191,35.01708221435547,85.48678588867188,96.69430541992188,,25.869728088378906,,85.52999877929688,,62.47392272949219,,24.889999389648438,7.3657379150390625,5.769999980926514,21.472820281982422,112.48725891113281,38.31039810180664,62.908626556396484,9.42640209197998,44.268310546875,12.015536308288574,4.567096710205078,14.520000457763672,29.435483932495117,1.1672980785369873,75.45486450195312,9.779999732971191,,34.21310043334961,,,41.16972351074219,55.97999954223633,,0.20000000298023224,,53.119998931884766,5.2251505851745605,52.89213562011719,18.450828552246094,47.1704216003418
